iter	Passed	Remaining
0	12	3739
1	26	3958
2	38	3808
3	51	3837
4	64	3819
5	74	3670
6	84	3555
7	94	3447
8	103	3339
9	112	3251
10	119	3139
11	127	3062
12	134	2977
13	142	2903
14	150	2867
15	158	2818
16	165	2762
17	173	2711
18	179	2658
19	186	2607
20	192	2563
21	199	2515
22	205	2471
23	212	2438
24	218	2402
25	224	2369
26	231	2342
27	238	2315
28	245	2293
29	252	2270
30	259	2249
31	266	2231
32	273	2212
33	280	2193
34	287	2175
35	293	2153
36	300	2132
37	306	2115
38	313	2100
39	321	2089
40	328	2075
41	335	2062
42	343	2051
43	351	2044
44	357	2026
45	365	2016
46	372	2005
47	379	1992
48	386	1981
49	394	1970
50	401	1961
51	409	1952
52	416	1942
53	424	1934
54	431	1923
55	439	1914
56	446	1904
57	455	1899
58	462	1888
59	470	1881
60	477	1872
61	485	1865
62	493	1856
63	501	1848
64	508	1839
65	515	1829
66	523	1818
67	530	1810
68	538	1801
69	546	1794
70	553	1786
71	561	1777
72	568	1768
73	576	1759
74	583	1751
75	591	1742
76	598	1733
77	605	1723
78	612	1713
79	620	1706
80	627	1697
81	634	1688
82	642	1679
83	650	1671
84	657	1662
85	664	1654
86	671	1644
87	678	1635
88	686	1628
89	694	1621
90	702	1613
91	710	1605
92	718	1599
93	726	1591
94	734	1584
95	741	1575
96	749	1567
97	756	1559
98	763	1550
99	771	1542
100	778	1534
101	785	1525
102	793	1517
103	799	1507
104	806	1498
105	813	1489
106	820	1480
107	827	1471
108	834	1461
109	841	1453
110	849	1447
111	857	1438
112	864	1430
113	872	1422
114	880	1415
115	888	1408
116	896	1401
117	904	1394
118	911	1386
119	919	1379
120	928	1373
121	936	1366
122	944	1359
123	953	1352
124	961	1345
125	969	1339
126	977	1332
127	985	1323
128	993	1316
129	1000	1308
130	1008	1301
131	1016	1293
132	1024	1286
133	1033	1279
134	1041	1273
135	1050	1267
136	1060	1261
137	1068	1254
138	1077	1247
139	1085	1241
140	1094	1234
141	1102	1226
142	1110	1219
143	1119	1212
144	1127	1205
145	1135	1198
146	1144	1191
147	1153	1184
148	1161	1177
149	1169	1169
150	1178	1162
151	1186	1155
152	1194	1147
153	1202	1140
154	1210	1132
155	1218	1124
156	1226	1117
157	1234	1109
158	1242	1102
159	1250	1094
160	1259	1087
161	1267	1079
162	1275	1071
163	1283	1064
164	1291	1056
165	1299	1049
166	1307	1040
167	1315	1033
168	1322	1025
169	1330	1017
170	1338	1009
171	1346	1002
172	1354	994
173	1363	987
174	1371	979
175	1379	972
176	1388	965
177	1397	958
178	1406	950
179	1415	943
180	1424	936
181	1431	928
182	1439	920
183	1447	912
184	1456	905
185	1464	897
186	1472	889
187	1481	882
188	1489	875
189	1498	867
190	1506	859
191	1515	852
192	1523	844
193	1531	836
194	1538	828
195	1547	821
196	1555	813
197	1564	805
198	1572	798
199	1580	790
200	1588	782
201	1596	774
202	1604	766
203	1612	758
204	1619	750
205	1627	742
206	1634	734
207	1642	726
208	1650	718
209	1658	710
210	1666	703
211	1674	695
212	1681	686
213	1689	678
214	1696	670
215	1703	662
216	1710	654
217	1717	645
218	1724	637
219	1731	629
220	1738	621
221	1745	613
222	1752	605
223	1759	597
224	1767	589
225	1775	581
226	1782	573
227	1789	565
228	1796	557
229	1803	548
230	1811	540
231	1818	532
232	1825	524
233	1831	516
234	1838	508
235	1846	500
236	1853	492
237	1860	484
238	1867	476
239	1873	468
240	1880	460
241	1888	452
242	1896	444
243	1903	436
244	1912	429
245	1919	421
246	1927	413
247	1934	405
248	1941	397
249	1948	389
250	1956	382
251	1964	374
252	1971	366
253	1979	358
254	1986	350
255	1994	342
256	2002	335
257	2010	327
258	2018	319
259	2026	311
260	2034	303
261	2042	296
262	2049	288
263	2057	280
264	2065	272
265	2073	265
266	2081	257
267	2088	249
268	2095	241
269	2103	233
270	2110	225
271	2118	218
272	2126	210
273	2133	202
274	2141	194
275	2148	186
276	2156	179
277	2163	171
278	2171	163
279	2178	155
280	2185	147
281	2192	139
282	2199	132
283	2207	124
284	2213	116
285	2221	108
286	2228	100
287	2235	93
288	2242	85
289	2249	77
290	2257	69
291	2263	62
292	2271	54
293	2278	46
294	2284	38
295	2292	30
296	2299	23
297	2307	15
298	2316	7
299	2322	0
